country,avg_happiness,avg_gdp
Portugal,5.14,1.25
Malaysia,5.34,1.22
Hungary,5.09,1.22
Greece,5.15,1.21
Croatia,5.31,1.17
Turkey,5.35,1.12
Latvia,5.1,1.11
Gabon,4.41,1.1
Bulgaria,4.62,1.09
Iran,4.69,1.09
Azerbaijan,5.23,1.07
Belarus,5.32,1.07
Montenegro,5.23,1.05
Turkmenistan,5.25,1.05
Botswana,3.83,1.05
Romania,5.12,1.04
Lebanon,5.15,1.04
Iraq,4.53,1.04
"Dominican Republic",5.23,1.03
Venezuela,4.92,1.03
China,5.24,1.03
Macedonia,5.12,0.99
Mongolia,5.05,0.99
Jordan,5.32,0.99
Algeria,5.25,0.99
Serbia,5.15,0.98
"South Africa",4.68,0.98
"North Macedonia",5.27,0.98
Tunisia,4.77,0.97
Egypt,4.55,0.97
"Sri Lanka",4.42,0.96
Indonesia,5.26,0.96
Albania,4.65,0.95
Namibia,4.57,0.95
Kosovo,5.28,0.95
Georgia,4.29,0.95
"Bosnia and Herzegovina",5.16,0.94
Jamaica,5.31,0.93
